raw_class,raw_type,canonical_type,canonical_class,status,confidence,notes
6 metre,,,,pending,,
,Quarter Ton,,,pending,,
,Cape 31,,,pending,,
,J112e,,,pending,,
,Contessa 32,,,pending,,
,H Boat,,,pending,,
,Nautor Swan 36,,,pending,,
,BB10m,,,pending,,
,-,,,pending,,
,Seaview Mermaid,,,pending,,
,Victory,,,pending,,
,TP52,,,pending,,
,Ker 46,,,pending,,
,Beneteau First 40,,,pending,,
,Ker 36 custom,,,pending,,
,Swan53,,,pending,,
,J / 122,,,pending,,
,Swan 45,,,pending,,
,X40 modified,,,pending,,
,Ker 39,,,pending,,
,J / 111,,,pending,,
,Farr 36,,,pending,,
,Oceanis 37,,,pending,,
,J/112e,,,pending,,
,JPK 1080,,,pending,,
,Beneteau 40.7,,,pending,,
,Sun Fast 3600,,,pending,,
,Sunfast 3300,,,pending,,
,Grand Soleil 46.3,,,pending,,
,First 40.7,,,pending,,
,Sunfast 3600,,,pending,,
,E22,,,pending,,
,One-off,,,pending,,
,A35,,,pending,,
,30 Square Metre,,,pending,,
,Archaumbault 31,,,pending,,
,Sloop,,,pending,,
,X362 Sport,,,pending,,
,Sj 320,,,pending,,
,HOD35,,,pending,,
,Cory Yachts 290,,,pending,,
,JOD 35,,,pending,,
,sigma 38,,,pending,,
,X 3/4,,,pending,,
,JPK1010,,,pending,,
,Sunfast 3200R2,,,pending,,
,X 37,,,pending,,
,J / 99,,,pending,,
,J / 105,,,pending,,
,J / 92,,,pending,,
,J / 92s,,,pending,,
,J 99 2.10 Fin6,,,pending,,
,J / 97,,,pending,,
,Mustang 30 Mk 2,,,pending,,
,SIGMA 33,,,pending,,
,Sigma 33 OOD,,,pending,,
,Sigma 33OOD,,,pending,,
,Mustang 30 Mark 2,,,pending,,
,Bolero Prototype,,,pending,,
,QUARTER TONNER,,,pending,,
,1/4 Tonner,,,pending,,
,Fun 23 MOD,,,pending,,
,Bullit Quarter Tonner,,,pending,,
,Waarschip 725,,,pending,,
,Kolibri 6.5,,,pending,,
,Hunter Impala 28,,,pending,,
,Impala OOD (mod),,,pending,,
,First 285,,,pending,,
,Quarter Ton magic bus,,,pending,,
,Extrovert 22,,,pending,,
,Hunter Sonata,,,pending,,
,She,,,pending,,
,H-boat,,,pending,,
,Sonata,,,pending,,
,Contessa32,,,pending,,
,DARING ONE DESIGN,,,pending,,
,Sweden Yachts 40,,,pending,,
,First 42,,,pending,,
,First 33.7,,,pending,,
,Maxi 1100,,,pending,,
,Contessa 33,,,pending,,
,Oyster Heritage 37,,,pending,,
,MAlo 43,,,pending,,
,39 Cruiser,,,pending,,
,J-109,,,pending,,
,Bemudian Slooo,,,pending,,
,Arcona 370,,,pending,,
